benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/003-sc2013.cnf.bz2, PSIDS_MapleLCMDistChronoBT, default, 5000.02, timeout (wallclock), UNKNOWN, 0.0116481, --
sat/003-sc2013.cnf.bz2, Relaxed_LCMDistChronoBT, default, 195.045, complete, SAT-VERIFIED, 0.0122761, --
sat/003-sc2013.cnf.bz2, Relaxed_LCMDistChronoBT_Scavel, default, 5000.07, timeout (wallclock), UNKNOWN, 0.010252, --
sat/003-sc2013.cnf.bz2, Relaxed_LCMDistChronoBT_p9, default, 293.51, complete, SAT-VERIFIED, 0.010412, --
sat/003-sc2013.cnf.bz2, Relaxed_LCM_Dist, default, 5000.1, timeout (wallclock), UNKNOWN, 0.0097571, --
sat/003-sc2013.cnf.bz2, Riss7.1, NOUNSAT_proof, 5000.1, timeout (wallclock), UNKNOWN, 0.0103369, --
sat/003-sc2013.cnf.bz2, Riss7.1, default_proof, 5000.02, timeout (wallclock), UNKNOWN, 0.0115549, --
sat/003-sc2013.cnf.bz2, SLIME, default, 5000.04, timeout (wallclock), UNKNOWN, 0.0107101, --
sat/003-sc2013.cnf.bz2, SparrowToMergeSAT, Sparrow2MergeSAT_proof, 1771.24, complete, SAT-VERIFIED, 0.0141981, --
sat/003-sc2013.cnf.bz2, Topk3.2_Glucose3.0, default, 5000.02, timeout (wallclock), UNKNOWN, 0.010795, --
